Date,Time,PID,Level,Component,Content,TypeOfContent,BlockID,datetime_id,Tag
2008-11-09,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,PacketResponder,blk_38865049064139660,081109203615,PacketResponder
2008-11-09,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,PacketResponder,blk_-6952295868487656571,081109203807,PacketResponder
2008-11-09,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,BLOCK*,blk_7128370237687728475,081109204005,BLOCK*
2008-11-09,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,PacketResponder,blk_8229193803249955061,081109204015,PacketResponder
2008-11-09,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,PacketResponder,blk_-6670958622368987959,081109204106,PacketResponder
2008-11-09,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,BLOCK*,blk_3050920587428079149,081109204132,BLOCK*
2008-11-09,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,BLOCK*,blk_7888946331804732825,081109204324,BLOCK*
2008-11-09,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,BLOCK*,blk_2377150260128098806,081109204453,BLOCK*
2008-11-09,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,PacketResponder,blk_572492839287299681,081109204525,PacketResponder
2008-11-09,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,Received,blk_3587508140051953248,081109204655,Received
2008-11-09,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,Received,blk_5402003568334525940,081109204722,Received
2008-11-09,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,Receiving,blk_5792489080791696128,081109204815,Receiving
2008-11-09,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,Receiving,blk_1724757848743533110,081109204842,Receiving
2008-11-09,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,BLOCK*,blk_8015913224713045110,081109204908,BLOCK*
2008-11-09,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,Receiving,blk_-5623176793330377570,081109204925,Receiving
2008-11-09,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,BLOCK*,blk_-1727475099218615100,081109205035,BLOCK*
2008-11-09,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,PacketResponder,blk_5017373558217225674,081109205056,PacketResponder
2008-11-09,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,Received,blk_9212264480425680329,081109205157,Received
